feature,importance
num__lag_1,0.7432476697806757
num__rolling_mean_4,0.18176640083708295
num__lag_52,0.0139159513706164
num__Dept,0.011045331473587312
num__week,0.00838287937621017
num__lag_4,0.008045332547518762
num__holiday_effect_last_year,0.006490795904418726
num__rolling_std_4,0.006403601774073164
num__sales_growth_rate,0.0028800839361025486
num__average_sales_per_store,0.002509008725418324
num__Size,0.0018990270774170127
num__IsHoliday,0.0018661899039080377
num__Temperature,0.0017709284973696218
num__Unemployment,0.0017592764602335916
num__Fuel_Price,0.0014023044373201515
num__Store,0.0011566904406632304
num__CPI,0.0011095094883587858
num__month,0.0008968552948890764
num__MarkDown3,0.000673542302644584
num__MarkDown1,0.0004241439526691163
